entrezgene	ensembl	symbol	abagen symbol	pass_all	num_pass	correlation	seed	score
54532	ENSG00000145390	USP53	USP53	1.0	2.0	0.42826041984102536	32.0	0.03724003650791525
9712	ENSG00000148429	USP6NL	USP6NL	1.0	1.0	0.3053757934569332	55.0	0.013277208411171009
7874	ENSG00000187555	USP7	USP7	1.0	5.0	0.6392830287898454	33.0	0.13897457147605335
9101	ENSG00000138592	USP8	USP8	0.0	0.0	0.35658547709516103	53.0	0.0
8239	ENSG00000124486	USP9X	USP9X	1.0	9.0	0.5656194788283614	31.0	0.22132936128066316
10208	ENSG00000132952	USPL1	USPL1	0.0	0.0	0.33927459673479715	32.0	0.0
10090	ENSG00000111962	UST	UST	1.0	1.0	0.6025010422288556	32.0	0.02619569748821111
51096	ENSG00000011260	UTP18	UTP18	1.0	2.0	0.638368127056343	33.0	0.055510271917942874
27340	ENSG00000120800	UTP20	UTP20	1.0	1.0	0.38035594730892053	53.0	0.01653721510038785
84294	ENSG00000147679	UTP23	UTP23	0.0	0.0	0.4298115816339507	32.0	0.0
7402	ENSG00000152818	UTRN	UTRN	0.0	0.0	0.3990982824693188	49.0	0.0
7405	ENSG00000198382	UVRAG	UVRAG	1.0	1.0	0.45539215467362537	32.0	0.019799658898853278
80146	ENSG00000115652	UXS1	UXS1	1.0	1.0	0.5152784345324773	41.0	0.02240341019706423
6843	ENSG00000139190	VAMP1	VAMP1	0.0	0.0	0.26627376701026134	52.0	0.0
8673	ENSG00000118640	VAMP8	VAMP8	1.0	5.0	0.4648802179369213	33.0	0.10106091694280897
81839	ENSG00000173218	VANGL1	VANGL1	0.0	0.0	0.38066415857021974	31.0	0.0
57216	ENSG00000162738	VANGL2	VANGL2	1.0	8.0	0.5628566101999204	7.0	0.19577621224345057
9218	ENSG00000101558	VAPA	VAPA	0.0	0.0	0.5346927594011199	32.0	0.0
9217	ENSG00000124164	VAPB	VAPB	1.0	2.0	0.5252694865398438	32.0	0.04567560752520381
22846	ENSG00000071246	VASH1	VASH1	1.0	7.0	0.7237278972998178	65.0	0.22026501222168368
79805	ENSG00000143494	VASH2	VASH2	0.0	0.0	0.29792647872059064	32.0	0.0
