"roi","diagnosis_beta","Advan_inno","BrainGluSchi","Baltimore","Dallas","dallas","boston","hartford","georgia","chicago","COBRE","A","C","MultidimCog","speech","SWA","HUH","HKH","COI","KUT","KTT","UTO","Study_neura","Transdiagnostic2","Transdiagnostic1"
"1",0.257181311539162,0.291043131072063,0.365934231819066,0.413184462695056,0.31016700142478,0.373695502192249,0.381986073846195,0.339084344079633,0.291617831251098,0.395849145999169,0.310888558196559,0.364294862427166,0.357479483299159,0.385181025982491,0.418635389302342,0.192005837245991,0.247922290922038,0.310304067613054,0.394970317468658,0.571223775549046,0.379589416491253,0.418962137480673,0.383758440111389,0.310081061873465,0.33198435849763
"2",0.0387883522281996,0.0013966646081646,0.0921547083089163,0.0832506932407712,0.0745335800454157,0.0286456893339088,0.0409006880506607,0.0718218501935526,0.032540913890879,0.124575308536846,0.145640178338288,0.088074338616481,0.032459151958476,0.146272498139697,0.131886010015584,-0.0994823249266549,0.000995568020621824,0.0226688911677783,0.0614747600427115,0.326554307423974,0.0400799285598688,0.0590364898254032,0.0561517889727051,0.161232574339525,0.0989908627381854
"3",-0.181541752528566,-0.0960746358148566,-0.111253995587836,-0.0859736611055929,-0.110854994423484,-0.10196925721443,-0.161278650447635,-0.111296872553951,-0.0855386959105606,-0.0084099506762282,-0.110458002771881,-0.0902140882069728,-0.116439255537105,-0.119528825040579,-0.0589946353377368,-0.293125111235051,-0.291190465504059,-0.151569261543873,-0.113353655186044,0.175233774655529,-0.0547538650205936,-0.0789671866004115,-0.0560515440139563,-0.0466552156032561,-0.0490953084508501
"4",-0.464463090818748,0.0903043783999166,0.211402488636433,0.170951507953617,0.105733629889896,0.168186081705838,0.186996867792121,0.170037886847109,0.211108458796031,0.166374598531891,0.24591798169183,0.110665970754613,0.180157171610715,0.25394022173657,0.177706402784504,-0.136312660923137,0.141231229913531,0.168728362732581,0.0572427369339418,0.380704218243027,0.134494025082996,0.115092871100847,0.163802513948282,0.124220937017793,0.126212946944914
"5",-0.270031568558129,-0.537644415884615,-0.443139445938906,-0.483782338684492,-0.598251130607414,-0.517403300733285,-0.529633095789494,-0.568696803048545,-0.441422424962222,-0.514078734094099,-0.567307481384817,-0.56148990079853,-0.570092262911081,-0.399575311566387,-0.328817969698021,-0.611213373433363,-0.48673598116276,-0.499284659363782,-0.590053080948275,-0.191010835220333,-0.556510522527921,-0.611646147974811,-0.619103274730633,-0.526306416039001,-0.467764579017008
"6",0.715849810586442,0.921162306674297,0.845255451520863,0.868810646354833,0.761377900070269,0.817317532253274,0.770264880552956,0.848997128040555,0.917060781954456,0.795128550882708,0.898393313722326,0.843328923603016,0.820944838634694,0.743814239237839,0.877962957079795,0.700566934091725,0.672924987537066,0.839516913814112,0.862926717191401,0.893062394519665,0.824787663003396,0.943406947638509,0.927741214781085,0.840404456299395,0.888866942839204
"7",0.345171298716032,0.472685429952534,0.474426046946967,0.381785794451869,0.300107083768117,0.406078473901091,0.276804709459485,0.430393998671548,0.353109110907389,0.376953449063861,0.441765890516747,0.35946729226932,0.33981916835116,0.329533266918389,0.366069170525884,0.297168437046243,0.369006515583525,0.36276530361772,0.376596216535983,0.490144955466337,0.362520709852651,0.363173507087221,0.392630745687661,0.328927237053871,0.340378937350993
"8",-0.189859079221191,0.137674070934429,0.151839488889708,0.139987617853621,0.156271027783765,0.133515563281469,0.18830531473355,0.175980971431228,0.217563372828425,0.146358686982969,0.196479740304543,0.112355107080058,0.147630033578135,0.26873383454482,0.178910165359445,-0.0263497632690585,0.0724325777043191,0.126967047299369,0.105177841434527,0.300452327218405,0.155948275542903,0.17820674973735,0.160477179452108,0.132147741853454,0.104984701771938
"9",-0.205549049785603,-0.0660099880319615,-0.0468228841402212,-0.0826045688326988,-0.107657714741433,-0.151578125020345,-0.124225479275211,-0.0849356571165883,-0.00257052142115007,-0.133908045517382,-0.0584157501646106,-0.0967675059815336,-0.0983264469908495,0.0483955083665928,0.0527041675097021,-0.258929909817018,-0.167562738056247,-0.105582413512935,-0.135291780214889,0.0606900969599852,-0.136834081283157,-0.0997409719887366,-0.100726423268385,-0.0483897267998062,-0.0495335804141764
"10",0.342895036647766,0.649528719306065,0.538670325614221,0.531944769631102,0.56617248598565,0.526963956480156,0.540352246916869,0.572988484252543,0.541692310581713,0.601363094270691,0.565586672651557,0.570630700403268,0.632723817512736,0.525782207360294,0.530417768108541,0.45625335964138,0.604164866570792,0.573130942698417,0.484431673468561,0.536151361863602,0.52900439720829,0.616950935642894,0.590474231135846,0.503178618272935,0.469619506437037
"11",0.127824688836842,0.681028724853552,0.545390046332831,0.619641097587221,0.604714956744247,0.540098855444518,0.643048992876213,0.605905040637028,0.587346635720534,0.66109304631679,0.606248890942491,0.585591868917474,0.655976268564266,0.56466501046907,0.583484495019121,0.494875758373723,0.569876414399112,0.570396105633183,0.510350338014834,0.409858212251998,0.550269029350207,0.740501719015022,0.525533209552195,0.547515237755926,0.56836756656732
"12",1.05883298784334,1.42776609814745,1.28524769595972,1.26272324709795,1.34009437456617,1.25894744952171,1.3627656233565,1.31922275628606,1.26523426338398,1.32907835651825,1.314294562831,1.25911186663312,1.34601686150583,1.2647969438765,1.22887226246307,1.28895910685584,1.33840176142033,1.31841967257109,1.22217897076739,1.09447610702008,1.29470425274592,1.33639148791011,1.29096348528114,1.22088493080711,1.19831260617711
"13",-0.142352685491195,0.0656752513554993,0.131092046029459,0.157040681862132,0.119234655116471,0.1550967168177,0.0765596125055543,0.122411134191522,0.149731836350138,0.128476238451739,0.159982489035751,0.0727581470975455,0.0898142429632354,0.254172030413608,0.051364340717229,0.139926588596339,0.0586045141003998,0.086104380147192,0.0798990241784737,-0.0273214936790938,0.118460195164018,0.00402809492056691,0.11958114590113,0.0625596529996387,0.00106173131180212
