RNF135
PRKN
IRF2BP1
CUL4A
CUL3
TRIM55
RNF138
PPIL2
TRIM69
MARCHF1
SMURF1
TRAF7
TRIM37
UBE3A
TRIM22
LRSAM1
SH3RF3
TRIM6
PEX10
XIAP
TRIM52
MUL1
WDR24
UBR4
MARCHF5
TRAF3
DCST1
CDC42
TRIM24
PRPF19
FANCL
TRIM32
TRIM65
ANAPC11
TRIM27
VPS18
UHRF1
VPS11
ZNRF1
DTX4
RNF144A
NT5C2
MARCHF6
UBE2O
RNF123
HERC2
TRIM9
STUB1
UHRF2
RNF122
RCHY1
AREL1
RNF11
RNF38
MYCBP2
RNF126
RNFT1
UBE2D3
RNF170
PPP1R11
RFWD3
RNF167
RNF111
TOPORS
RBX1
UBE2D2
RNF186
HERC5
TRAF3IP2
PELI1
COP1
MKRN1
ZNRF2
RNF183
ASB1
RNF31
RNF125
TRIP12
RNF14
RC3H2
RNF25
RNF41
RNF181
TRIM41
NSMCE1
RNF213
RNF185
SYVN1
SH3RF2
UBE2D1
RNF139
UBE3C
RNF4
RNF113A
TRIM23
SIAH1
TRIM31
IRF2BPL
TRIM8
ZNRF4
TRIM56
PEX2
RFFL
TRAF6
TRIM26
FBXL22
RNF34
PJA2
NEDD4
TMEM129
RNF152
MDM2
BFAR
UBR5
MEX3C
UBE3D
SH3RF1
RBBP6
RNF10
PEX12
MYLIP
ASB12
TRIM7
TRIM25
TRIM21
TRIM45
MARCHF7
ZNF598
ASB2
BRAP
RNF19B
NFX1
LTN1
HLTF
AMFR
ITCH
HECTD1
CBLC
TRIM3
RNF26
SHPRH
SMURF2
RNF216
HUWE1
MARCHF2
KCMF1
