,cPC2
A1BG,0.4389437967437695
A1BG-AS1,0.5585377805633756
AACS,0.3043633266160644
AADAT,1.3900358479234243
AAED1,0.3732574967164188
AARS2,-0.1064216181797316
AASS,-0.043262227152048346
ABCA1,2.1330191392126623
ABCA2,0.2566544037435468
ABCA3,0.6887572628849987
ABCA5,-2.4768866781324888
ABCA9,-1.8781494964308074
ABCB10,0.26751074993016444
ABCB6,0.16469666759186327
ABCC12,-2.185372600189034
ABCC5,-1.5653883344484747
ABCC8,-2.489921421901874
ABCE1,-2.642906234643086
ABCF1,1.9749868051388606
ABCG1,-1.0476188970580254
ABHD1,1.3340459430335425
ABHD17A,1.147605356847935
ABHD17C,-0.568801034203715
ABHD3,-0.4101944424751863
ABHD4,0.19178690359386877
ABHD6,-1.896676489863673
ABHD8,-0.6190394736305528
ABI1,-0.03312855902776938
ABI2,1.107582458928462
ABR,-1.3204936342480544
ABRACL,-2.859787855067493
ACAA2,3.6934495941054557
ACACA,1.8143064471938988
ACACB,-1.0139383124071022
ACAD8,-0.626218147306488
ACAD9,1.5668962410917124
ACADL,0.8324284278638167
ACADVL,-0.7968848291981333
ACAP2,-2.067514266139611
ACAT2,0.4036109051519733
ACKR1,-1.759133308181568
ACKR3,2.0349312112039817
ACLY,-1.617732956720042
ACOT2,1.1776265451263566
ACOT4,0.012609972826003747
ACOT8,2.1908718341949314
ACOT9,0.35597651368434946
ACOX1,0.10580431389329419
ACOX3,-0.7884224481183257
ACP1,1.3249195601073884
ACP2,-0.8008357941201203
ACSBG1,2.4350191491784097
ACSF2,3.0916604476019014
ACSF3,0.546290240368022
ACSL4,-1.6946320551091558
ACSM5,0.5449234386338214
ACTA1,0.36489020800774646
ACTG1,3.878334486364463
ACTL6A,0.4251009722095353
ACTL6B,0.27863176656139765
ACTR10,1.8620526598578158
ACTR1B,0.4879327019562761
ACTR2,1.053359570006014
ACTR3B,-0.9369302772412693
ACTR3BP2,-1.2895561169127825
ACTR3C,1.8190287403055865
ACVR2A,-2.364350926850172
ACY3,1.1988682948272067
ACYP1,0.08930802623599843
ADA,1.1433300664647525
ADAD2,1.9411443548258833
ADAM11,-2.558243739747975
ADAM19,-0.9441590194833843
ADAM20P1,-2.510809647316173
ADAM28,1.3513269170448152
ADAMTS19,2.3566077808520145
ADAMTS8,0.36514969970370836
ADAMTS9,2.056469267203657
ADAMTSL1,-1.5605173284039546
ADAMTSL2,1.634085513660846
ADAP1,1.44097852685449
ADAP2,1.9444167070468734
ADARB1,-0.06940761843494343
ADAT1,1.1244471872583084
ADCK2,0.533663981416264
ADCK5,-0.7969413660526578
ADCY1,-1.0803320880354286
ADCY2,-0.8596957219664225
ADCY6,0.15568426421211315
ADCY7,0.3486678739671579
ADCY8,-0.3868225878245525
ADCYAP1,-1.5822334775891926
ADCYAP1R1,0.8110479564935946
ADGRA1,-3.2996851509853413
ADGRA3,2.87837687571807
