ROI, Median Gray Value, Area
1,0.52,1798
2,0.53,2734
3,-0.03,2256
4,0.73,3794
5,0.92,2241
6,-0.16,2460
7,0.01,2219
8,0.42,4410
9,0.54,2546
10,0.27,3608
11,0.54,1214
12,1.15,2613
13,0.24,2598
14,0.14,4181
15,0.41,5556
16,0.01,5575
17,1.28,2047
18,0.28,4104
19,1.04,1319
20,0.82,1843
21,0.72,2259
22,0.22,2796
23,0.41,4074
24,0.76,2580
25,1.06,2492
26,1.74,1942
27,0.37,3628
28,0.42,3838
29,0.0,1609
30,0.28,2396
31,1.02,4666
32,0.25,6133
33,0.31,4115
34,0.37,3164
35,0.23,4544
36,0.34,1303
37,0.0,1212
38,0.14,4969
39,0.33,2578
40,0.56,2077
41,0.32,5990
42,1.61,1719
43,1.4,4752
44,1.06,4064
45,0.98,3737
46,1.16,6100
47,0.32,2245
48,0.77,1975
49,0.0,1338
50,1.27,3168
51,1.39,803
52,1.71,703
53,1.85,398
54,2.21,459
55,0.11,457
56,0.48,444
57,0.92,1361
58,0.62,732
59,0.04,263
60,-0.59,219
61,0.0,212
62,0.0,260
63,-1.95,996
64,-1.6,1152
65,-0.57,677
66,-0.54,332
