ROI, Median Gray Value, Area
1,0.85,915
2,0.67,1153
3,-0.55,1001
4,0.37,961
5,-0.75,760
6,-0.48,1166
7,0.71,271
8,-0.4,1069
9,0.02,670
10,-1.04,683
11,0.18,1357
12,0.38,655
13,0.82,988
14,0.06,1737
15,-0.09,1739
16,-0.46,1354
17,0.0,750
18,0.86,1324
19,-0.44,1669
20,0.37,1030
21,-0.86,928
22,0.42,1026
23,-0.69,1036
24,0.86,399
25,0.6,1014
26,0.48,1451
27,1.22,397
28,0.01,635
29,0.32,544
30,1.07,979
31,0.14,698
32,1.18,598
33,0.0,525
34,1.13,1401
35,0.5,1179
36,-0.33,726
37,0.09,359
38,0.0,905
39,0.0,541
40,-0.46,1015
41,0.29,658
42,-0.15,509
43,0.62,1101
44,0.47,702
45,0.55,896
46,0.69,613
47,0.0,835
48,0.93,1080
49,-0.56,854
50,-0.15,1142
51,-1.48,848
52,0.0,631
53,0.02,550
54,0.58,1770
55,0.0,1525
56,0.92,1014
57,0.48,927
58,0.44,1103
59,0.4,738
60,0.31,374
61,0.0,1120
62,0.0,895
63,-0.25,1255
64,0.67,640
65,-0.75,1182
66,0.76,569
67,0.0,1588
68,0.33,966
69,1.13,711
70,1.27,724
71,-0.34,1000
72,0.0,968
73,1.0,858
74,0.64,1683
75,0.51,513
76,1.32,622
77,1.26,541
78,1.36,457
79,1.18,724
80,1.15,1454
81,0.0,2190
82,0.0,1804
83,0.0,1175
84,-1.44,739
85,0.56,656
86,0.3,1278
87,0.77,1489
88,0.48,1548
89,0.15,1615
90,0.37,1640
91,1.07,1297
92,0.61,1254
93,-0.01,2159
94,0.61,599
95,1.2,817
96,1.12,991
97,0.24,942
98,0.3,480
99,0.0,863
100,0.05,1295
101,-0.64,1066
102,0.24,1466
103,0.41,1321
104,0.21,2499
105,0.0,1383
106,0.32,1334
107,0.0,981
108,-0.48,765
109,-0.53,677
110,0.0,459
111,0.0,337
112,1.24,1092
113,-0.18,2767
114,0.33,1485
115,-0.24,939
116,0.86,925
117,1.69,505
118,1.02,1237
119,1.2,722
120,1.15,1172
121,0.75,1122
122,1.16,1351
123,1.26,884
124,1.01,2193
125,0.85,1318
126,0.82,1297
127,0.99,794
128,0.15,1679
129,-1.09,1523
130,0.76,946
131,1.54,1517
132,0.58,1225
133,-0.29,1470
134,0.63,1448
135,0.18,2144
136,0.09,1322
137,0.68,850
138,0.91,1428
139,0.4,983
140,0.71,1099
141,0.2,942
142,0.38,1094
143,-0.27,539
144,0.98,427
145,-1.04,669
146,-0.13,1218
147,-0.98,571
148,0.89,854
149,0.0,528
150,-0.47,1233
151,0.7,803
152,0.73,703
153,0.57,398
154,1.1,459
155,0.42,457
156,-0.01,444
157,0.73,1361
158,0.44,732
159,0.68,263
160,0.99,219
161,0.0,212
162,0.0,260
163,0.92,996
164,0.61,1152
165,0.67,677
166,0.9,332
