ROI, Median Gray Value, Area
1,-0.04,1798
2,-0.47,2734
3,-0.84,2256
4,-0.09,3794
5,-0.28,2241
6,0.89,2460
7,0.11,2219
8,0.03,4410
9,0.58,2546
10,-0.48,3608
11,-0.9,1214
12,0.09,2613
13,0.0,2598
14,0.0,4181
15,0.0,5556
16,0.0,5575
17,0.47,2047
18,0.0,4104
19,0.36,1319
20,0.97,1843
21,1.01,2259
22,-0.07,2796
23,0.0,4074
24,0.56,2580
25,0.67,2492
26,0.34,1942
27,0.03,3628
28,0.21,3838
29,0.0,1609
30,-0.04,2396
31,0.76,4666
32,0.66,6133
33,0.47,4115
34,0.0,3164
35,0.49,4544
36,0.66,1303
37,0.0,1212
38,0.27,4969
39,0.84,2578
40,1.14,2077
41,0.78,5990
42,0.68,1719
43,0.56,4752
44,0.71,4064
45,0.04,3737
46,-0.13,6100
47,0.06,2245
48,0.09,1975
49,0.55,1338
50,0.55,3168
51,1.39,803
52,1.35,703
53,0.87,398
54,1.72,459
55,0.4,457
56,0.19,444
57,1.33,1361
58,0.41,732
59,-0.4,263
60,-0.19,219
61,0.0,212
62,0.0,260
63,-0.37,996
64,-0.46,1152
65,-0.95,677
66,-0.89,332
