ROI, Median Gray Value, Area
1,0.25,915
2,1.39,1153
3,1.32,1001
4,0.04,961
5,1.34,760
6,1.3,1166
7,0.18,271
8,0.91,1069
9,-0.48,670
10,1.55,683
11,1.21,1357
12,0.66,655
13,0.47,988
14,0.4,1737
15,0.49,1739
16,1.73,1354
17,1.25,750
18,0.72,1324
19,1.09,1669
20,1.66,1030
21,1.68,928
22,0.19,1026
23,0.66,1036
24,0.19,399
25,1.51,1014
26,1.38,1451
27,0.71,397
28,1.17,635
29,1.03,544
30,0.71,979
31,1.09,698
32,0.23,598
33,0.72,525
34,0.73,1401
35,0.28,1179
36,0.67,726
37,0.93,359
38,0.0,905
39,0.36,541
40,-0.2,1015
41,0.45,658
42,0.96,509
43,0.08,1101
44,1.49,702
45,-0.77,896
46,0.0,613
47,-0.18,835
48,0.28,1080
49,-0.17,854
50,-0.87,1142
51,-0.78,848
52,0.0,631
53,-0.02,550
54,1.55,1770
55,1.22,1525
56,1.74,1014
57,0.73,927
58,0.0,1103
59,0.0,738
60,0.0,374
61,0.11,1120
62,0.0,895
63,-0.53,1255
64,-0.97,640
65,-1.82,1182
66,0.55,569
67,0.42,1588
68,0.0,966
69,1.05,711
70,1.26,724
71,-0.02,1000
72,0.06,968
73,0.86,858
74,1.34,1683
75,2.15,513
76,2.98,622
77,2.83,541
78,2.55,457
79,1.86,724
80,1.12,1454
81,1.28,2190
82,0.0,1804
83,0.0,1175
84,-1.29,739
85,0.31,656
86,1.03,1278
87,2.38,1489
88,1.66,1548
89,0.74,1615
90,-0.54,1640
91,-0.0,1297
92,0.68,1254
93,-0.55,2159
94,0.03,599
95,0.59,817
96,0.62,991
97,-0.63,942
98,-0.03,480
99,0.12,863
100,1.29,1295
101,1.83,1066
102,1.24,1466
103,1.09,1321
104,1.53,2499
105,0.93,1383
106,0.73,1334
107,0.0,981
108,0.18,765
109,-0.79,677
110,0.0,459
111,0.0,337
112,2.17,1092
113,-0.11,2767
114,0.06,1485
115,0.37,939
116,1.54,925
117,0.79,505
118,1.48,1237
119,1.2,722
120,1.08,1172
121,0.25,1122
122,0.3,1351
123,1.39,884
124,-0.23,2193
125,1.05,1318
126,2.41,1297
127,1.27,794
128,0.96,1679
129,1.67,1523
130,1.12,946
131,2.4,1517
132,0.73,1225
133,0.49,1470
134,1.71,1448
135,1.43,2144
136,0.36,1322
137,1.75,850
138,0.26,1428
139,0.0,983
140,1.05,1099
141,1.31,942
142,0.65,1094
143,0.52,539
144,0.38,427
145,1.79,669
146,0.53,1218
147,0.97,571
148,0.39,854
149,0.0,528
150,-0.05,1233
151,1.71,803
152,3.53,703
153,1.28,398
154,2.6,459
155,2.11,457
156,1.45,444
157,3.1,1361
158,1.95,732
159,1.32,263
160,0.66,219
161,0.0,212
162,0.0,260
163,-0.56,996
164,-0.77,1152
165,-1.16,677
166,-0.22,332
