ROI, Median Gray Value, Area
1,1.24,1798
2,1.38,2734
3,1.45,2256
4,0.41,3794
5,0.98,2241
6,2.1,2460
7,0.53,2219
8,0.25,4410
9,0.93,2546
10,1.66,3608
11,0.81,1214
12,1.56,2613
13,0.0,2598
14,-0.2,4181
15,-0.46,5556
16,1.16,5575
17,0.51,2047
18,0.34,4104
19,0.0,1319
20,-1.07,1843
21,-0.58,2259
22,1.67,2796
23,0.0,4074
24,0.33,2580
25,2.9,2492
26,2.67,1942
27,1.21,3628
28,0.0,3838
29,0.0,1609
30,0.11,2396
31,0.89,4666
32,1.43,6133
33,0.98,4115
34,0.26,3164
35,0.0,4544
36,0.5,1303
37,0.0,1212
38,1.15,4969
39,1.69,2578
40,1.3,2077
41,0.45,5990
42,2.85,1719
43,1.51,4752
44,1.09,4064
45,0.93,3737
46,0.57,6100
47,0.2,2245
48,0.61,1975
49,1.78,1338
50,1.27,3168
51,1.93,803
52,1.25,703
53,3.14,398
54,3.01,459
55,1.26,457
56,0.58,444
57,3.11,1361
58,0.92,732
59,2.78,263
60,3.01,219
61,0.0,212
62,0.0,260
63,0.61,996
64,0.0,1152
65,1.36,677
66,1.21,332
