ROI, Median Gray Value, Area
1,1.4,1798
2,0.98,2734
3,1.74,2256
4,0.9,3794
5,0.29,2241
6,1.24,2460
7,0.92,2219
8,0.64,4410
9,1.35,2546
10,0.82,3608
11,0.41,1214
12,1.2,2613
13,0.82,2598
14,0.82,4181
15,0.19,5556
16,0.86,5575
17,0.79,2047
18,0.27,4104
19,0.68,1319
20,1.24,1843
21,0.65,2259
22,0.82,2796
23,0.0,4074
24,0.89,2580
25,2.9,2492
26,1.8,1942
27,0.86,3628
28,0.24,3838
29,0.62,1609
30,0.01,2396
31,1.52,4666
32,1.28,6133
33,1.43,4115
34,0.56,3164
35,0.46,4544
36,1.68,1303
37,0.0,1212
38,1.61,4969
39,2.28,2578
40,2.31,2077
41,1.46,5990
42,1.61,1719
43,0.9,4752
44,2.22,4064
45,1.56,3737
46,-0.14,6100
47,0.64,2245
48,0.11,1975
49,1.57,1338
50,1.0,3168
51,2.13,803
52,1.3,703
53,2.82,398
54,2.47,459
55,2.22,457
56,2.38,444
57,2.12,1361
58,2.21,732
59,1.33,263
60,0.95,219
61,0.0,212
62,0.0,260
63,-0.32,996
64,0.0,1152
65,0.21,677
66,1.11,332
