ROI, Median Gray Value, Area
1,1.45,1798
2,1.38,2734
3,1.3,2256
4,1.27,3794
5,1.26,2241
6,1.89,2460
7,0.79,2219
8,0.99,4410
9,1.38,2546
10,2.08,3608
11,0.89,1214
12,2.51,2613
13,0.4,2598
14,0.21,4181
15,0.0,5556
16,1.6,5575
17,0.95,2047
18,0.79,4104
19,0.58,1319
20,1.13,1843
21,0.64,2259
22,1.02,2796
23,0.5,4074
24,1.44,2580
25,2.0,2492
26,2.8,1942
27,1.4,3628
28,0.68,3838
29,0.0,1609
30,1.25,2396
31,1.35,4666
32,2.67,6133
33,1.51,4115
34,0.6,3164
35,1.04,4544
36,0.86,1303
37,0.0,1212
38,1.91,4969
39,1.34,2578
40,0.79,2077
41,0.63,5990
42,2.15,1719
43,2.06,4752
44,2.47,4064
45,2.05,3737
46,1.59,6100
47,1.27,2245
48,1.91,1975
49,1.24,1338
50,1.63,3168
51,1.81,803
52,0.88,703
53,2.6,398
54,2.21,459
55,1.24,457
56,1.7,444
57,3.3,1361
58,2.84,732
59,-0.58,263
60,-0.47,219
61,0.0,212
62,0.0,260
63,-1.36,996
64,-0.58,1152
65,-1.69,677
66,-0.81,332
