ROI, Median Gray Value, Area
1,0.94,1798
2,1.46,2734
3,1.44,2256
4,-0.17,3794
5,0.5,2241
6,1.17,2460
7,1.3,2219
8,-0.03,4410
9,0.78,2546
10,0.76,3608
11,-0.84,1214
12,-0.19,2613
13,0.77,2598
14,0.15,4181
15,0.0,5556
16,2.34,5575
17,1.5,2047
18,0.0,4104
19,0.55,1319
20,-0.57,1843
21,-0.09,2259
22,0.56,2796
23,-0.0,4074
24,1.31,2580
25,0.53,2492
26,0.8,1942
27,0.39,3628
28,0.0,3838
29,0.0,1609
30,0.24,2396
31,0.2,4666
32,1.19,6133
33,1.75,4115
34,0.0,3164
35,0.34,4544
36,0.44,1303
37,0.0,1212
38,1.75,4969
39,0.85,2578
40,0.27,2077
41,0.0,5990
42,0.7,1719
43,1.2,4752
44,0.31,4064
45,0.07,3737
46,-0.58,6100
47,0.94,2245
48,-0.11,1975
49,1.86,1338
50,-0.26,3168
51,0.63,803
52,-0.52,703
53,2.11,398
54,0.58,459
55,1.31,457
56,2.27,444
57,1.6,1361
58,2.08,732
59,-1.12,263
60,-1.08,219
61,0.0,212
62,0.0,260
63,-1.28,996
64,-1.35,1152
65,-1.11,677
66,-0.48,332
