ROI, Median Gray Value, Area
1,1.12,915
2,2.11,1153
3,-0.29,1001
4,1.68,961
5,0.63,760
6,0.08,1166
7,0.77,271
8,0.59,1069
9,0.35,670
10,1.19,683
11,0.58,1357
12,0.55,655
13,0.77,988
14,1.12,1737
15,0.4,1739
16,1.46,1354
17,0.56,750
18,0.76,1324
19,1.07,1669
20,1.17,1030
21,0.15,928
22,1.2,1026
23,0.86,1036
24,0.91,399
25,2.06,1014
26,1.59,1451
27,2.31,397
28,1.2,635
29,2.57,544
30,0.74,979
31,1.57,698
32,1.31,598
33,1.46,525
34,0.26,1401
35,0.8,1179
36,1.12,726
37,1.62,359
38,0.0,905
39,1.55,541
40,0.39,1015
41,0.98,658
42,0.34,509
43,0.43,1101
44,0.85,702
45,0.11,896
46,0.03,613
47,0.28,835
48,0.48,1080
49,0.28,854
50,0.47,1142
51,1.35,848
52,0.0,631
53,0.0,550
54,1.08,1770
55,0.89,1525
56,0.61,1014
57,0.23,927
58,0.27,1103
59,1.13,738
60,-0.43,374
61,0.44,1120
62,0.27,895
63,0.04,1255
64,-0.26,640
65,0.0,1182
66,0.29,569
67,0.47,1588
68,0.71,966
69,0.93,711
70,1.72,724
71,1.27,1000
72,1.48,968
73,0.95,858
74,2.17,1683
75,2.93,513
76,1.12,622
77,1.0,541
78,1.12,457
79,1.96,724
80,0.78,1454
81,1.53,2190
82,0.0,1804
83,0.0,1175
84,0.94,739
85,0.47,656
86,1.57,1278
87,1.36,1489
88,1.0,1548
89,2.15,1615
90,1.11,1640
91,1.54,1297
92,2.74,1254
93,1.03,2159
94,1.39,599
95,3.1,817
96,1.44,991
97,0.0,942
98,1.2,480
99,1.56,863
100,1.2,1295
101,1.61,1066
102,1.67,1466
103,1.85,1321
104,1.66,2499
105,0.82,1383
106,0.92,1334
107,0.0,981
108,-0.13,765
109,0.08,677
110,0.0,459
111,0.0,337
112,1.6,1092
113,1.21,2767
114,1.89,1485
115,1.8,939
116,1.69,925
117,2.31,505
118,2.17,1237
119,1.88,722
120,1.31,1172
121,1.08,1122
122,0.98,1351
123,1.5,884
124,1.35,2193
125,3.06,1318
126,1.34,1297
127,1.09,794
128,1.15,1679
129,1.75,1523
130,1.58,946
131,2.38,1517
132,0.73,1225
133,1.45,1470
134,2.36,1448
135,1.96,2144
136,0.89,1322
137,1.7,850
138,0.75,1428
139,0.37,983
140,0.34,1099
141,0.89,942
142,0.69,1094
143,0.34,539
144,0.63,427
145,0.79,669
146,0.48,1218
147,0.48,571
148,0.64,854
149,0.0,528
150,0.42,1233
151,2.64,803
152,2.15,703
153,3.14,398
154,2.97,459
155,1.17,457
156,1.38,444
157,3.48,1361
158,1.86,732
159,1.81,263
160,1.02,219
161,0.0,212
162,0.0,260
163,1.28,996
164,0.0,1152
165,-0.65,677
166,-0.87,332
