ROI, Median Gray Value, Area
1,0.94,915
2,0.5,1153
3,1.29,1001
4,0.71,961
5,0.4,760
6,0.06,1166
7,0.36,271
8,-0.38,1069
9,0.57,670
10,-0.04,683
11,-0.79,1357
12,1.07,655
13,0.33,988
14,0.0,1737
15,-0.35,1739
16,0.4,1354
17,1.15,750
18,0.06,1324
19,0.21,1669
20,-0.1,1030
21,-0.17,928
22,0.11,1026
23,-0.79,1036
24,-1.02,399
25,0.5,1014
26,-0.77,1451
27,0.28,397
28,-0.77,635
29,0.98,544
30,-0.75,979
31,-0.7,698
32,-0.01,598
33,0.07,525
34,0.24,1401
35,0.0,1179
36,0.34,726
37,0.3,359
38,0.0,905
39,-0.2,541
40,-0.93,1015
41,-0.94,658
42,1.02,509
43,-0.19,1101
44,0.99,702
45,0.03,896
46,-0.82,613
47,0.0,835
48,-0.73,1080
49,0.54,854
50,0.72,1142
51,-0.67,848
52,-0.07,631
53,0.0,550
54,-0.4,1770
55,0.13,1525
56,1.23,1014
57,0.9,927
58,0.0,1103
59,-0.65,738
60,0.42,374
61,-0.13,1120
62,0.0,895
63,0.61,1255
64,0.54,640
65,0.0,1182
66,0.19,569
67,0.0,1588
68,0.0,966
69,0.61,711
70,-0.68,724
71,-1.08,1000
72,-1.15,968
73,0.94,858
74,0.35,1683
75,0.89,513
76,0.2,622
77,0.6,541
78,-0.02,457
79,0.72,724
80,-0.52,1454
81,0.75,2190
82,0.0,1804
83,0.0,1175
84,0.78,739
85,0.18,656
86,1.71,1278
87,1.28,1489
88,1.0,1548
89,0.54,1615
90,-0.12,1640
91,0.2,1297
92,0.83,1254
93,0.11,2159
94,1.0,599
95,0.44,817
96,0.15,991
97,0.76,942
98,-0.26,480
99,0.0,863
100,0.83,1295
101,1.15,1066
102,0.39,1466
103,0.28,1321
104,0.75,2499
105,0.92,1383
106,0.97,1334
107,0.0,981
108,0.29,765
109,0.22,677
110,0.0,459
111,0.0,337
112,1.04,1092
113,0.47,2767
114,0.0,1485
115,1.23,939
116,0.84,925
117,1.53,505
118,1.47,1237
119,0.08,722
120,0.26,1172
121,0.0,1122
122,0.49,1351
123,-0.42,884
124,0.7,2193
125,1.57,1318
126,0.8,1297
127,-0.15,794
128,0.99,1679
129,1.44,1523
130,0.9,946
131,0.04,1517
132,0.26,1225
133,0.02,1470
134,0.36,1448
135,1.02,2144
136,-0.23,1322
137,0.4,850
138,0.0,1428
139,0.0,983
140,0.53,1099
141,-0.06,942
142,0.4,1094
143,2.24,539
144,1.85,427
145,0.15,669
146,1.27,1218
147,-0.24,571
148,0.0,854
149,0.0,528
150,1.3,1233
151,1.09,803
152,1.01,703
153,1.15,398
154,1.71,459
155,0.58,457
156,0.38,444
157,0.1,1361
158,0.03,732
159,-0.1,263
160,-0.54,219
161,0.0,212
162,0.0,260
163,-0.54,996
164,-0.38,1152
165,-0.53,677
166,-0.15,332
