ROI, Median Gray Value, Area
1,0.51,1798
2,-0.08,2734
3,-0.6,2256
4,-0.35,3794
5,-0.7,2241
6,-1.26,2460
7,0.18,2219
8,0.0,4410
9,-0.54,2546
10,0.82,3608
11,0.57,1214
12,0.85,2613
13,0.64,2598
14,0.4,4181
15,0.0,5556
16,0.04,5575
17,0.75,2047
18,0.04,4104
19,0.29,1319
20,0.74,1843
21,1.04,2259
22,0.31,2796
23,0.01,4074
24,0.8,2580
25,0.28,2492
26,-0.04,1942
27,0.14,3628
28,0.0,3838
29,0.01,1609
30,0.0,2396
31,0.36,4666
32,-0.08,6133
33,0.28,4115
34,0.0,3164
35,0.0,4544
36,-0.81,1303
37,0.0,1212
38,0.55,4969
39,0.49,2578
40,1.37,2077
41,0.86,5990
42,-0.46,1719
43,0.44,4752
44,0.11,4064
45,0.31,3737
46,0.76,6100
47,-0.01,2245
48,0.55,1975
49,-0.44,1338
50,0.49,3168
51,0.75,803
52,1.34,703
53,-0.01,398
54,-0.02,459
55,-1.49,457
56,-1.13,444
57,-0.8,1361
58,-1.03,732
59,0.92,263
60,0.8,219
61,0.0,212
62,0.0,260
63,0.74,996
64,-0.39,1152
65,0.21,677
66,-0.95,332
