ROI, Median Gray Value, Area
1,0.83,1798
2,1.08,2734
3,0.82,2256
4,0.54,3794
5,0.33,2241
6,0.0,2460
7,1.52,2219
8,0.93,4410
9,0.94,2546
10,0.75,3608
11,-0.16,1214
12,1.75,2613
13,1.51,2598
14,0.37,4181
15,0.01,5556
16,1.56,5575
17,1.2,2047
18,0.62,4104
19,0.68,1319
20,-0.44,1843
21,-0.12,2259
22,2.43,2796
23,0.83,4074
24,1.12,2580
25,1.11,2492
26,1.32,1942
27,1.95,3628
28,0.0,3838
29,0.44,1609
30,1.18,2396
31,2.09,4666
32,1.49,6133
33,1.33,4115
34,0.41,3164
35,1.67,4544
36,0.5,1303
37,0.0,1212
38,1.8,4969
39,1.36,2578
40,0.92,2077
41,0.92,5990
42,1.01,1719
43,1.3,4752
44,1.41,4064
45,2.32,3737
46,1.49,6100
47,1.56,2245
48,0.93,1975
49,-0.11,1338
50,0.64,3168
51,1.61,803
52,1.43,703
53,1.36,398
54,1.8,459
55,0.66,457
56,1.37,444
57,3.6,1361
58,2.14,732
59,0.95,263
60,1.29,219
61,0.0,212
62,0.0,260
63,-1.78,996
64,-2.6,1152
65,-0.19,677
66,-0.85,332
