ROI, Median Gray Value, Area
1,2.25,1798
2,1.77,2734
3,1.66,2256
4,2.06,3794
5,1.75,2241
6,2.85,2460
7,1.16,2219
8,1.92,4410
9,2.78,2546
10,1.8,3608
11,2.29,1214
12,2.45,2613
13,0.3,2598
14,1.76,4181
15,0.17,5556
16,1.46,5575
17,0.97,2047
18,1.67,4104
19,0.65,1319
20,0.89,1843
21,1.03,2259
22,1.31,2796
23,1.47,4074
24,1.9,2580
25,2.36,2492
26,2.72,1942
27,1.27,3628
28,0.78,3838
29,0.21,1609
30,1.31,2396
31,2.32,4666
32,1.25,6133
33,1.5,4115
34,1.63,3164
35,1.39,4544
36,2.41,1303
37,0.0,1212
38,1.0,4969
39,1.81,2578
40,1.53,2077
41,1.48,5990
42,2.23,1719
43,1.69,4752
44,2.58,4064
45,1.95,3737
46,1.1,6100
47,0.0,2245
48,1.31,1975
49,2.42,1338
50,1.56,3168
51,2.09,803
52,2.25,703
53,2.84,398
54,2.23,459
55,2.88,457
56,1.87,444
57,1.58,1361
58,1.75,732
59,0.95,263
60,0.24,219
61,0.0,212
62,0.0,260
63,-0.13,996
64,-0.48,1152
65,-0.62,677
66,0.02,332
