"voxel","diagnosis_beta"
1,0.0148950473608934
2,-0.0673489105104723
3,-0.171177930177685
4,-0.263618163981568
5,-0.322493599252274
6,-0.342166640159405
7,-0.349020745200256
8,0.125212664016206
9,0.1996824747646
10,0.129927791874472
11,-0.0109871719571857
12,-0.157120992997826
13,-0.26528388445562
14,-0.310389053220592
15,-0.291481700054575
16,-0.244293740434097
17,-0.230980094064876
18,-0.412066660342709
19,-0.0551585471144938
20,0.161354745726102
21,0.204913634558087
22,0.115589051147318
23,-0.0346427974038683
24,-0.182471036225685
25,-0.283813439787296
26,-0.312426320061119
27,-0.266929653937994
28,-0.182398441399246
29,-0.124494174191614
30,-0.154923921219258
31,-0.407511995066902
32,-0.0939201425223371
33,0.095006687609987
34,0.13920315300248
35,0.0734870091290711
36,-0.0462528957016828
37,-0.168569221968411
38,-0.252993791595856
39,-0.273503546153165
40,-0.225871937734887
41,-0.138315670856726
42,-0.0719193767869453
43,-0.0934808434055928
44,-0.410446282438139
45,-0.145148187282609
46,0.0282048425508763
47,0.0941667159621526
48,0.0690429224386583
49,-0.0124940567316829
50,-0.165674795765374
51,-0.104151882166284
52,-0.0680733016400668
53,-0.371880940260945
54,-0.150058232478404
55,0.0142136418743529
56,0.10180431112396
57,0.104955748684294
58,0.041751527086461
59,-0.0997234511042228
60,-0.112184362931103
61,-0.306680854470053
62,-0.112185388827929
63,0.0480029624628739
64,0.146308887261781
65,0.154841841042541
66,-0.220549092910575
67,-0.273829260208185
68,-0.0793509022618998
69,0.0898171886549038
70,0.195792672417642
71,0.198672123808272
72,-0.103290661059111
73,0.0924828313727277
74,0.216019347500792
75,0.0184233525327516
76,0.16759279965538
77,-0.156543436054709
78,-0.133432572258973
79,-0.15762255463072
80,-0.215773389256296
81,0.142966432705313
82,0.191502391100528
83,0.198863277976082
84,0.174868176654923
85,0.133970165075731
86,0.0875815522526819
87,0.0244520842777375
88,-0.0478974146818931
89,0.268070289777041
90,0.42596420559812
91,0.452464178607765
92,0.408153744153608
93,0.342557052740038
94,0.286351587370155
95,0.258908353345893
96,0.259312607118612
97,0.254341120033468
98,0.194669607070967
99,0.0543849813331684
100,-0.148385188772899
101,-0.192859167094515
102,0.240835096464946
103,0.519276780252002
104,0.606210845668641
105,0.548876581392843
106,0.431020081426528
107,0.324030574676393
108,0.271436786102428
109,0.287409470308773
110,0.352202399180213
111,0.413977835818688
112,0.411337508416008
113,0.309853037010771
114,0.120312252520403
115,-0.507564220088903
116,-0.0339093283733776
117,0.36244469190675
118,0.58642480680406
119,0.617310279134066
120,0.515006967256092
121,0.371753194459266
122,0.267154633590197
123,0.246681949730454
124,0.312080445434418
125,0.426104037674241
126,0.530064130188722
127,0.565061825446217
128,0.494458585713375
129,0.316718693511442
130,-0.376574370646614
131,0.0507738259438855
132,0.387448715404024
133,0.563930391860881
134,0.572950049725609
135,0.470990747730072
136,0.342054323619301
137,0.263686163633365
138,0.278304802685406
139,0.374969527234489
140,0.504497871702858
141,0.61081057265842
142,0.646417552050621
143,0.577662634455963
144,0.39222588787948
145,-0.237543130549323
146,0.12913967675884
147,0.402949047854057
148,0.548064186479459
149,0.562307014825716
150,0.482794652727342
151,0.375759600965335
152,0.315959051545892
153,0.346514674499392
154,0.44984216519647
155,0.569714634839773
156,0.652305945547839
157,0.658505270882873
158,0.559394550319155
159,0.340684955067674
160,-0.0872678685229834
161,0.225027110401523
162,0.448262662509461
163,0.577388170397726
164,0.605394598775431
165,0.542657381263015
166,0.438806509057965
167,0.371489777349116
168,0.391104113829019
169,0.480840504593316
170,0.58143916035842
171,0.636841345524178
172,0.607888683268396
173,0.4685653696829
174,0.209919415378988
175,0.0241753221719949
176,0.305469971685273
177,0.504923119670841
178,0.634514946516679
179,0.675330244592851
180,0.61474784385621
181,0.493635594009029
182,0.396343934363507
183,0.381592341206273
