ACOT12,,,,,,,,,,,,,,,,,,
ACOT13,,,,,,,,,,,,,,,,,,
ACOT2,,,,,,,,,,,,,,,,,,
ACOT4,,,,,,,,,,,,,,,,,,
ACOT6,,,,,,,,,,,,,,,,,,
ACOT7,,,,,,,,,,,,,,,,,,
ACOT8,,,,,,,,,,,,,,,,,,
ACOX1,,,,,,,,,,,,,,,,,,
ACOX2,,,,,,,,,,,,,,,,,,
ACOX3,,,,,,,,,,,,,,,,,,
ACP1,,,,,,,,,,,,,,,,,,
ACP2,,,,,,,,,,,,,,,,,,
ACP3,,,,,,,,,,,,,,,,,,
ACP4,,,,,,,,,,,,,,,,,,
ACP5,,,,,,,,,,,,,,,,,,
ACP6,,,,,,,,,,,,,,,,,,
ACR,,,,,,,,,,,,,,,,,,
ACSBG1,,,,,,,,,,,,,,,,,,
ACSBG2,,,,,,,,,,,,,,,,,,
ACSF2,,,,,,,,,,,,,,,,,,
ACSF3,,,,,,,,,,,,,,,,,,
ACSL1,,,,,LACS2,,,,,,,,,,,,,
ACSL3,,,,,,,,,,,,,,,,,,
ACSL4,,,,,,,,,,,,,,,,,,
ACSL5,,,,,,,,,,,,,,,,,,
ACSL6,,,,,,,,,,,,,,,,,,
ACSM1,,,,,,,,,,,,,,,,,,
ACSM2A,,,,,,,,,,,,,,,,,,
ACSM2B,,,,,,,,,,,,,,,,,,
ACSM3,,,,,,,,,,,,,,,,,,
ACSS1,,,,,,,,,,,,,,,,,,
ACSS2,,,,,,,,,,,,,,,,,,
ACSS3,,,,,,,,,,,,,,,,,,
ACTA1,,,,,,,,,,,,,,,,,,
ACTA2,,,,,,,,,,,,,,,,,,
ACTB,,,,,,,,,,,,,,,,,,
ACTC1,,,,,,,,,,,,,,,,,,
ACTG1,,,,,,,,,,,,,,,,,,
ACTL6A,,,,,,,,,,,,,,,,,,
ACTL6B,,,,,,,,,,,,,,,,,,
ACTL7A,,,,,,,,,,,,,,,,,,
ACTL9,,,,,,,,,,,,,,,,,,
ACTMAP,,,,,,,,,,,,,,,,,,
ACTN1,,,,,,,,,,,,,,,,,,
ACTN2,,,,,,,,,,,,,,,,,,
ACTN4,,,,,,,,,,,,,,,,,,
ACTR1A,,,,,,,,,,,,,,,,,,
ACTR1B,,,,,,,,,,,,,,,,,,
ACTR2,,,,,,,,,,,,,,,,,,
ACTR3,,,,,,,,,,,,,,,,,,
ACTR5,,,,,,,,,,,,,,,,,,
ACTR6,,,,,,,,,,,,,,,,,,
ACTR8,,,,,,,,,,,,,,,,,,
ACTRT1,,,,,,,,,,,,,,,,,,
ACVR1,,,,,,,,,,,,,,,,,,
ACVR1B,,,,,,,,,,,,,,,,,,
ACVR1C,,,,,,,,,,,,,,,,,,
ACVR2A,,,,,,,,,,,,,,,,,,
ACVR2B,,,,,,,,,,,,,,,,,,
ACVRL1,,,,,,,,,,,,,,,,,,
ACY1,,,,,,,,,,,,,,,,,,
ADA,,,,,,,,,,,,,,,,,,
ADA2,,,,,,,,,,,,,,,,,,
ADAM10,,,,,,,,,,,,,,,,,,
ADAM12,,,,,,,,,,,,,,,,,,
ADAM15,,,,,,,,,,,,,,,,,,
ADAM17,,,,,,,,,,,,,,,,,,
ADAM19,,,,,,,,,,,,,,,,,,
ADAM22,,,,,,,,,,,,,,,,,,
ADAM28,,,,,,,,,,,,,,,,,,
ADAM8,,,,,,,,,,,,,,,,,,
ADAM9,,,,,,,,,,,,,,,,,,
ADAMTS1,,,,,,,,,,,,,,,,,,
ADAMTS10,,,,,,,,,,,,,,,,,,
ADAMTS12,,,,,,,,,,,,,,,,,,
ADAMTS13,,,,,,,,,,,,,,,,,,
ADAMTS18,,,,,,,,,,,,,,,,,,
ADAMTS3,,,,,,,,,,,,,,,,,,
ADAMTS4,,,,,,,,,,,,,,,,,,
ADAMTS5,,,,,,,,,,,,,,,,,,
ADAMTS7,,,,,,,,,,,,,,,,,,
ADAMTS9,,,,,,,,,,,,,,,,,,
ADAMTSL3,,,,,,,,,,,,,,,,,,
