UniProtKB:Q99558	MAP3K14	NIK
UniProtKB:Q92820	GGH	
UniProtKB:Q99551	MTERF1	MTERF
UniProtKB:Q99550	MPHOSPH9	MPP9
UniProtKB:Q8TF39	ZNF483	KIAA1962|ZKSCAN16
UniProtKB:Q8TER5	ARHGEF40	SOLO
UniProtKB:Q8IYM9	TRIM22	RNF94|STAF50
UniProtKB:Q8TF32	ZNF431	KIAA1969
UniProtKB:Q8TF30	WHAMM	KIAA1971|WHDC1
UniProtKB:Q92819	HAS2	
UniProtKB:Q9NRP7	STK36	KIAA1278
UniProtKB:Q9NS15	LTBP3	
UniProtKB:Q9NRP4	SDHAF3	ACN9|DC11
UniProtKB:Q9NRP2	CMC2	C16orf61|DC13
UniProtKB:Q9NRP0	OSTC	DC2|HDCMD45P|HSPC307
UniProtKB:Q9H6L5	RETREG1	FAM134B|JK1
UniProtKB:Q9H6L4	ARMC7	
UniProtKB:Q9H6L2	TMEM231	UNQ870/PRO1886
UniProtKB:P0DP58	LYNX1	
UniProtKB:P0DP57	SLURP2	
UniProtKB:Q9UP38	FZD1	
UniProtKB:Q9NS00	C1GALT1	
UniProtKB:P54578	USP14	TGT
UniProtKB:P54577	YARS1	YARS
UniProtKB:Q96MC6	MFSD14A	HIAT1
UniProtKB:Q96MC4	CEP295NL	KIAA1731NL
UniProtKB:Q9H6K4	OPA3	
UniProtKB:Q9NRN9	METTL5	DC3|HSPC133
UniProtKB:Q9H6K1	ILRUN	C6orf106
UniProtKB:Q9NRN7	AASDHPPT	CGI-80|HAH-P|HSPC223|x0005
UniProtKB:Q9NRN5	OLFML3	PSEC0035|PSEC0173|PSEC0244|UNQ663/PRO1294
UniProtKB:P0DP42	TMEM225B	
UniProtKB:E9PAV3	NACA	
UniProtKB:Q96MB7	HARBI1	C11orf77
UniProtKB:Q9H6J7	CSTPP1	C11orf49
UniProtKB:Q9NRM7	LATS2	KPM
UniProtKB:Q9NRM6	IL17RB	CRL4|EVI27|IL17BR|UNQ2501/PRO19612
UniProtKB:Q9NRM2	ZNF277	NRIF4|ZNF277P
UniProtKB:Q9NRM1	ENAM	
UniProtKB:Q9NRM0	SLC2A9	GLUT9
UniProtKB:Q96MA1	DMRTB1	
UniProtKB:Q9H6I2	SOX17	
UniProtKB:Q9NRL3	STRN4	ZIN
UniProtKB:Q9NRL2	BAZ1A	ACF1|WCRF180|HSPC317
UniProtKB:P0DP25	CALM3	CALML2|CAM3|CAMC|CAMIII
UniProtKB:P0DP24	CALM2	CAM2|CAMB
UniProtKB:P0DP23	CALM1	CALM|CAM|CAM1
UniProtKB:Q9H6H4	REEP4	C8orf20|PP432
UniProtKB:Q9NRK6	ABCB10	
UniProtKB:P34059	GALNS	
UniProtKB:Q9NRJ7	PCDHB16	KIAA1621|PCDH3X
UniProtKB:O95870	ABHD16A	BAT5|G5|NG26|PP199
UniProtKB:P20290	BTF3	NACB|OK/SW-cl.8
UniProtKB:P20292	ALOX5AP	FLAP
UniProtKB:Q96G61	NUDT11	APS1|DIPP3B
UniProtKB:O75388	GPR32	
UniProtKB:O95868	LY6G6D	C6orf23|G6D|MEGT1|NG25
UniProtKB:O75386	TULP3	TUBL3
UniProtKB:Q9UID3	VPS51	ANG2|C11orf2|C11orf3|FFR|PP5382
UniProtKB:O95865	DDAH2	DDAH|G6A|NG30
UniProtKB:O95864	FADS2	
UniProtKB:O95863	SNAI1	SNAH
UniProtKB:O75381	PEX14	
UniProtKB:O95861	BPNT1	
UniProtKB:Q96FT9	IFT43	C14orf179
UniProtKB:Q96FT7	ASIC4	ACCN4
UniProtKB:Q9Y3F4	STRAP	MAWD|UNRIP
UniProtKB:Q9UIC8	LCMT1	LCMT|CGI-68
UniProtKB:O75379	VAMP4	
UniProtKB:O95859	TSPAN12	NET2|TM4SF12|UNQ774/PRO1568
UniProtKB:O95858	TSPAN15	NET7|TM4SF15|UNQ677/PRO1311
UniProtKB:O95857	TSPAN13	NET6|TM4SF13|UNQ260/PRO296
UniProtKB:O75373	ZNF737	ZNF102
UniProtKB:Q96G46	DUS3L	
UniProtKB:Q96FS4	SIPA1	SPA1
UniProtKB:Q96G42	KLHDC7B	
UniProtKB:Q86YM7	HOMER1	SYN47
UniProtKB:Q9UIB8	CD84	SLAMF5
UniProtKB:O75369	FLNB	FLN1L|FLN3|TABP|TAP
UniProtKB:O95848	NUDT14	UGPP
UniProtKB:O95847	SLC25A27	UCP4|UNQ772/PRO1566
UniProtKB:O75365	PTP4A3	PRL3
UniProtKB:O75364	PITX3	PTX3
UniProtKB:P50570	DNM2	DYN2
UniProtKB:P0DMW2	NLRP2B	CLRX.1|NLRP2P|NOD24|POP4
UniProtKB:P0DMW3	SMIM10L1	
UniProtKB:P0DN84	STRIT1	DWORF
UniProtKB:P0DN86	CGB3	CGB5|CGB8|CGB
UniProtKB:P0DN87	CGB7	
UniProtKB:P30086	PEBP1	PBP|PEBP
UniProtKB:P30085	CMPK1	CMK|CMPK|UCK|UMK|UMPK
UniProtKB:P30084	ECHS1	
UniProtKB:C9JR72	KBTBD13	
UniProtKB:Q6QHC5	DEGS2	C14orf66
UniProtKB:P50553	ASCL1	ASH1|BHLHA46|HASH1
UniProtKB:P50552	VASP	
UniProtKB:P00813	ADA	ADA1
UniProtKB:Q562F6	SGO2	SGOL2
UniProtKB:A0PJE2	DHRS12	SDR40C1
UniProtKB:P50549	ETV1	ER81
UniProtKB:P50548	ERF	
UniProtKB:P50542	PEX5	PXR1
UniProtKB:Q562E7	WDR81	
UniProtKB:Q02790	FKBP4	FKBP52
UniProtKB:Q96IZ5	RBM41	
UniProtKB:P28223	HTR2A	HTR2
UniProtKB:P28222	HTR1B	HTR1DB
UniProtKB:P28221	HTR1D	HTR1DA|HTRL
UniProtKB:P01009	SERPINA1	AAT|PI|PRO0684|PRO2209
UniProtKB:P01008	SERPINC1	AT3|PRO0309
UniProtKB:Q4V9L6	TMEM119	PSEC0199|UNQ731/PRO1415
