"roi","correlation","Advan_inno","BrainGluSchi","Baltimore","Dallas","dallas","boston","chicago","COBRE","HCP","A","C","MultidimCog","speech","KUT","KTT","UTO","Study_neura","Transdiagnostic2","Transdiagnostic1","no_Advan_inno","no_BrainGluSchi","no_Baltimore","no_Dallas","no_dallas","no_boston","no_chicago","no_COBRE","no_HCP","no_A","no_C","no_MultidimCog","no_speech","no_KUT","no_KTT","no_UTO","no_Study_neura","no_Transdiagnostic2","no_Transdiagnostic1"
"1",0.261163832652181,0.588506355617388,-0.0368859515136793,-0.144337703342979,0.614461196066144,0.333495136454319,0.46882751230641,-0.289403271614451,0.371020818906046,-0.0698764611489588,0.020000619747492,0.170397010260675,-0.233804120515636,0.254400188812971,0.363028825434381,0.132357018552453,-0.37600478003328,-0.268883317978882,0.534979411614792,0.3313708327639,0.221508340529215,0.259137289752,0.276569624433275,0.234155555714934,0.2492875662891,0.230955615285088,0.290575321801584,0.238297103013721,0.258418560003014,0.276166612486459,0.269119567336086,0.271658974417984,0.257452136388074,0.268743330257809,0.293660871428987,0.314258538851992,0.284109191935642,0.240319834543036,0.224489704221356
"2",0.0395294072383876,0.754120869115885,-0.0714368335048638,0.359988970942479,0.243565218604559,0.4981439928729,1.29948290759837,-0.898096438639232,-1.43514524182792,0.229507925724041,-0.107856759181509,1.08323333425572,0.412955169512536,0.804120260901704,-0.508900851729008,0.706600591329047,0.156427024009622,-0.199897919489487,-2.32102053698546,-1.05749699115383,-0.0237455680116832,0.0464192247035129,-0.0089784270649819,0.0264887449353243,0.00611131000820356,-0.0818977271397127,0.0967045150921679,0.1640535171331,0.0254503118959123,0.0503205787879264,-0.0125820929754796,-0.0151221724386026,0.00443004961811063,0.135585303249858,-0.0146159243914814,0.0278008750078212,0.0576906296463565,0.143590865410038,0.112580400205971
"3",-0.106604673560109,-0.19064666178381,0.102203340587708,0.102849544433706,0.248940459019814,0.150665121912024,1.18060403756223,-1.58023826119477,-0.437922673096171,0.799555721778042,-0.262300118743836,0.606252434743339,0.372363587897374,0.375071815569344,-0.491606526156669,-0.544609544372687,-0.0871669011835404,-0.798561483995963,-0.957835657755333,-1.34305069624628,-0.109810635177286,-0.12826275326462,-0.148569898358948,-0.118813938644705,-0.122164786896279,-0.235013903635076,-0.00948235474776524,-0.0770113773657978,-0.19751175314834,-0.0908184680417521,-0.140914329011103,-0.188590245799274,-0.132594350668036,-0.0380439411555721,-0.0544461471333351,-0.0987710848144885,-0.0562588820228617,-0.0657718737392108,-0.0208658297545715
"4",-0.431584449539767,0.00157650523402161,-0.926946488505162,-0.00204408389946661,0.553059430883655,0.148301703822305,-0.664937732337146,-0.374641058112169,-0.750501031291823,-0.209987221169208,0.902390862695297,-0.96211208870872,-0.626038970053152,-0.0470808040803629,-1.25580903267658,0.224407868545866,-0.349113478300554,0.296793090326373,-0.781015185908673,-0.791338634388536,-0.443914349370985,-0.399456121684083,-0.468154208235987,-0.47766480418185,-0.458227452033606,-0.406076122223083,-0.440894648722127,-0.397414430955849,-0.474963285567377,-0.489046941691035,-0.401745193072782,-0.383038984649041,-0.437445519003012,-0.306122091238539,-0.518719643628766,-0.453809142093445,-0.471550145966709,-0.409373456582477,-0.364265164475583
"5",-0.272923573539847,-0.192290030074043,-1.64903734502143,0.219133932493323,0.908147133247433,0.237991187716934,0.185272034898394,-0.48953471157434,0.115553954991894,-0.674515919548686,0.159173731678271,0.315133487307155,0.163991894850353,-0.238800175137682,-1.03308428607147,-0.154472758725473,-0.427071171196177,0.944675353784309,-0.793843252225333,-1.83525245275663,-0.276493092141775,-0.182211286639532,-0.287961484398806,-0.329902492174004,-0.284171624396987,-0.313303184968127,-0.262233413643297,-0.308162972248894,-0.258980340611097,-0.294734674457416,-0.31289738514977,-0.336056371936284,-0.255308980592038,-0.154462880500964,-0.318353221326107,-0.264724043257672,-0.342711105549498,-0.257453169563536,-0.141266000685152
"6",0.616606893751223,-0.0200687517705549,0.0329726375431379,0.838829102942571,2.68445515922648,1.83547788474112,0.994511029554873,1.4734492232777,-0.306089445684487,0.0684415774116674,-0.140715845593508,1.28618532452805,2.34793526269983,0.475653424093782,0.937651351899453,0.758109859323322,-1.4232525633942,-1.21099310254776,-0.716218928130013,-2.50082782541952,0.662998186527064,0.624460362375996,0.65931918072519,0.518994162937182,0.55292741950582,0.536942435117182,0.546628129980374,0.684184268606234,0.642884084740932,0.638053294516448,0.579858587660734,0.358921246130439,0.624353840105675,0.587524271639923,0.57768478506279,0.718245397888064,0.718047985765673,0.656414175318795,0.782275537774747
"7",0.257765121253268,-0.439074896509804,-1.33513424917649,-0.127719386592725,1.94134553006966,0.00635153547961402,1.84890701915724,0.0640879402182098,-0.366144782853867,0.0652698004394442,1.0343583593078,1.24427430226869,-0.19256644809086,-0.248858862620287,-0.35079432379544,-0.0828831947244262,0.991243869985754,-0.5905015786854,0.53611939931461,0.118484016260396,0.315436188046797,0.365969153394601,0.285829796132218,0.182019701351791,0.298588158207018,0.120697444752492,0.257963399905906,0.310873525567913,0.276146087217869,0.228892624266578,0.207325386422877,0.227599401916917,0.272922067019502,0.355808360231635,0.232904210095866,0.179553693561924,0.289304574192145,0.236474184376025,0.247579316833897
"8",-0.239401044132601,0.533291276426443,0.145887745037034,-0.304653900486546,-0.199539912772682,0.524977853408019,-0.667557965838258,0.073146327063848,-0.133423885945662,-0.481957434248967,0.875349334628443,-0.395329443528893,-0.886331209745385,-0.968106900959968,-0.72977288932518,0.0185827623798664,-0.0382379932646143,0.0211063643456065,-0.243498841656794,-0.134024747946733,-0.289216257755896,-0.26214550823271,-0.216481420423051,-0.236935742984269,-0.288109832984011,-0.199642193506342,-0.262096308716125,-0.242346819226924,-0.234097784184027,-0.292151652438507,-0.237422371865385,-0.167672686154861,-0.200887357153911,-0.155196931014816,-0.287883549223328,-0.264901981100009,-0.250792782364908,-0.225064666932491,-0.227657794123541
"9",-0.171498263670483,-0.408305597279102,-0.8705514419096,0.223699889688762,0.33663444575211,1.4034810615654,0.425917291315634,0.81972033273767,-0.509877289676041,0.426020311741965,-0.30260362269465,-0.639786338147324,-0.129172981300162,-0.99194186815323,-0.7121664483616,0.660396654855539,0.0724367962914399,-0.209631169784275,-1.12137602609084,-1.27046261968386,-0.142333058701891,-0.132864588154683,-0.175389905659967,-0.191391874706573,-0.268166964411665,-0.212758680656976,-0.238885013898278,-0.137503057522047,-0.260144031779608,-0.164703071138578,-0.160767936035808,-0.145640989929752,-0.120194866476469,-0.0838521926425661,-0.25472619761009,-0.202034896621024,-0.166752260057486,-0.128397411236837,-0.0721196768833488
"10",0.284242914338225,-0.045602711432583,0.660457667541715,0.843826549768198,0.189057802193521,0.357394800849375,0.350679066347973,-0.900760019133245,0.429966112710422,-0.344236431959682,-0.210531153300335,-1.25798756688844,0.381467318384986,0.2750238887598,-0.080961159991147,0.737230494666978,-0.234267117814377,-0.473848580795524,0.296952549260251,0.758544482256535,0.303148880538472,0.269924069625551,0.226480810260994,0.289898025727252,0.256474228820008,0.281026508758339,0.347679936388081,0.280838329162566,0.291450452227086,0.304117401831688,0.372509587228008,0.228336908576951,0.270329107554506,0.315592195533024,0.228933967337228,0.305517875357437,0.317819593642744,0.270415974605546,0.226043560430571
"11",0.0442709488481496,-0.0833510128868497,1.26458058365744,-0.281785050456243,0.147195958723382,0.624138961747954,-1.14459114033014,-1.40494164965183,0.400133156120722,-0.571043051423522,-0.0128538614476755,-0.977625946163273,-0.315762402255158,0.595154789113769,0.76782240528944,0.595425157472972,-1.07748426874928,-0.0908123664019825,-0.55219485780134,0.102067334754345,0.0477198072698749,-0.0154334802725855,0.0689081958462591,0.0466089392442289,-0.0147729715511855,0.146716887803637,0.11752113829926,0.0283737376240655,0.0467335461347437,0.0326999524932752,0.114525128138638,0.0395608932316349,0.0170988459986417,-0.0841918925526106,-0.0499400976287156,0.128632619902602,0.0307197506926617,0.0661529005921846,0.0535620462547249
