"roi","diagnosis_beta","Advan_inno","BrainGluSchi","Baltimore","Dallas","dallas","boston","chicago","COBRE","HCP","A","C","MultidimCog","speech","KUT","KTT","UTO","Study_neura","Transdiagnostic2","Transdiagnostic1","no_Advan_inno","no_BrainGluSchi","no_Baltimore","no_Dallas","no_dallas","no_boston","no_hartford","no_georgia","no_chicago","no_COBRE","no_HCP","no_A","no_C","no_MultidimCog","no_speech","no_SWA","no_HUH","no_HKH","no_COI","no_KUT","no_KTT","no_UTO","no_Study_neura","no_Transdiagnostic2","no_Transdiagnostic1"
"1",0.26289859161685,0.588506355617389,-0.0368859515136692,-0.144337703342979,0.614461196066142,0.333495136454326,0.468827512306413,-0.289403271614448,0.371020818906024,-0.0698764611489473,0.0200006197474989,0.170397010260666,-0.233804120515626,0.254400188812977,0.363028825434373,0.132357018552462,-0.37600478003328,-0.268883317978885,0.534979411614802,0.33137083276391,0.226791841798967,0.260943034131052,0.276384436602979,0.237649230585245,0.250998656081186,0.241106916414799,0.257783090235295,0.269914666730455,0.293843548068469,0.248723413843559,0.257181310762251,0.271715378039288,0.267524082060461,0.272708929367039,0.263185259804261,0.25952109240031,0.258255551926377,0.255075661075077,0.271910002634641,0.272504832108416,0.297407457589886,0.309703713479729,0.2848566613828,0.240230234409368,0.226292793077045
"2",0.0551148633646025,0.754120869115886,-0.0714368335048623,0.359988970942484,0.243565218604548,0.498143992872911,1.29948290759838,-0.898096438639247,-1.43514524182793,0.229507925724052,-0.107856759181504,1.08323333425572,0.412955169512551,0.804120260901715,-0.508900851729016,0.706600591329049,0.156427024009615,-0.199897919489497,-2.32102053698546,-1.05749699115384,-0.00678644949044712,0.0629647176663445,0.00933319912322315,0.0426579480505853,0.0233147109677115,-0.0506569492930061,0.0541765901231128,0.0595610954936415,0.111123661113038,0.182183769160137,0.0387883515392724,0.0642302406884862,0.000521484256951532,0.00172895246692451,0.0298965812767435,0.0482379020067564,0.049352138897577,0.0439358718564316,0.056895450160129,0.150413208381405,0.00598464682860299,0.0400707563844013,0.0720424525120144,0.155469312233406,0.124581137261774
"3",-0.0853429586809768,-0.1906466617838,0.102203340587716,0.10284954443372,0.248940459019813,0.150665121912022,1.18060403756222,-1.58023826119479,-0.437922673096186,0.799555721778053,-0.262300118743825,0.606252434743344,0.372363587897375,0.375071815569346,-0.491606526156669,-0.544609544372673,-0.087166901183533,-0.798561483995965,-0.957835657755342,-1.34305069624628,-0.0886840315053942,-0.106906484729929,-0.125509537874318,-0.0977777627819118,-0.0995448507737251,-0.203543912800972,-0.0896725454100831,-0.0769432333685576,0.0118561063007433,-0.0421899704224904,-0.181541753065001,-0.0754447540531541,-0.121350255443388,-0.166174625193227,-0.106936026774761,-0.0890371866721063,-0.0968351810337788,-0.0944827611292943,-0.0785912709130211,-0.0143401882651258,-0.0306649851354991,-0.0786796741106348,-0.0355398844029455,-0.0468068037287961,-0.00485523380131842
"4",-0.416928543387646,0.00157650523401687,-0.926946488505157,-0.00204408389946423,0.553059430883643,0.148301703822315,-0.664937732337143,-0.374641058112176,-0.750501031291823,-0.209987221169194,0.902390862695308,-0.962112088708715,-0.626038970053137,-0.0470808040803524,-1.25580903267657,0.224407868545868,-0.349113478300553,0.296793090326355,-0.781015185908668,-0.791338634388528,-0.415795155799042,-0.382714727425763,-0.456406194843187,-0.457488633301542,-0.442252076378869,-0.395146959274784,-0.418114000625699,-0.411481936966391,-0.42548145726347,-0.381713724150578,-0.464463108723309,-0.479192447053854,-0.389744715351325,-0.368279599512878,-0.425514662217358,-0.421816107744477,-0.424267827976496,-0.417911264807188,-0.410857786864147,-0.298475646244067,-0.504893364043436,-0.418908213728416,-0.455294219104387,-0.396753812678008,-0.352425375850645
"5",-0.286335551520124,-0.192290030074048,-1.64903734502142,0.219133932493325,0.90814713324743,0.237991187716935,0.185272034898398,-0.489534711574336,0.115553954991882,-0.67451591954867,0.159173731678278,0.31513348730715,0.163991894850357,-0.238800175137668,-1.03308428607147,-0.154472758725462,-0.427071171196177,0.944675353784312,-0.793843252225326,-1.83525245275662,-0.295362715087224,-0.19814807417648,-0.302157189215655,-0.339141062367807,-0.297224352903594,-0.325424854612625,-0.298423742845449,-0.276165433391389,-0.277750919439779,-0.32420946129741,-0.270031569167447,-0.314112693498323,-0.328840915753685,-0.347147881834648,-0.232833831831547,-0.282056086273104,-0.289673667033795,-0.280760423132723,-0.2918070412494,-0.174275262425645,-0.334256774473739,-0.281054361895943,-0.357059494436008,-0.268686976855618,-0.158339035743063
"6",0.695787703623929,-0.0200687517705502,0.0329726375431407,0.838829102942583,2.68445515922648,1.83547788474113,0.994511029554879,1.47344922327769,-0.306089445684483,0.0684415774116686,-0.140715845593498,1.28618532452805,2.34793526269983,0.475653424093788,0.937651351899446,0.758109859323324,-1.4232525633942,-1.21099310254777,-0.716218928130014,-2.50082782541952,0.749655532872616,0.703266650246324,0.73544055089656,0.597488671769574,0.636910358628172,0.619036619391107,0.696790947104958,0.701873605871049,0.62779566429044,0.775413424540671,0.715849809704813,0.707723481839169,0.656348080909658,0.435961425549148,0.704407163417952,0.67805566158299,0.677397203557173,0.692027087953075,0.695957544556459,0.666550667676938,0.659159319226705,0.847279018838397,0.799552807420391,0.725595883118607,0.849216461772531
"7",0.32518679592438,-0.439074896509807,-1.33513424917647,-0.127719386592716,1.94134553006964,0.00635153547961816,1.84890701915724,0.0640879402182054,-0.366144782853876,0.0652698004394565,1.0343583593078,1.24427430226868,-0.19256644809086,-0.24885886262028,-0.350794323795444,-0.0828831947244165,0.991243869985747,-0.590501578685413,0.536119399314619,0.1184840162604,0.38117437997823,0.435595019234063,0.359399525617399,0.251147518467158,0.368254215230974,0.205044896578722,0.352931047088324,0.311715404522498,0.321802488296745,0.377181132176087,0.345171298040555,0.301786918038029,0.274595821033098,0.316007292528409,0.335598443063658,0.309667280150625,0.307104233403667,0.319815082147867,0.309344915565947,0.412517797933177,0.302267790050972,0.252763411974515,0.357684672307663,0.299610214468881,0.313375979560828
"8",-0.191097806531208,0.533291276426448,0.145887745037046,-0.304653900486534,-0.199539912772703,0.524977853408029,-0.667557965838247,0.0731463270638504,-0.13342388594566,-0.481957434248958,0.875349334628444,-0.395329443528902,-0.886331209745375,-0.968106900959958,-0.729772889325192,0.0185827623798684,-0.0382379932646066,0.021106364345613,-0.243498841656801,-0.134024747946729,-0.233365804590772,-0.212671029196501,-0.171183809469166,-0.189246018233063,-0.238048761408777,-0.152220617878807,-0.188825301711972,-0.185349451709992,-0.214129279692554,-0.192795263284458,-0.189859080020917,-0.247479549998188,-0.191107621184207,-0.112376362545892,-0.156787513984181,-0.200613675795251,-0.201682226781567,-0.202187196967945,-0.187722750371243,-0.107970608002948,-0.228375754874532,-0.202899154981527,-0.200529555653264,-0.180337818026018,-0.18160515732716
"9",-0.118354550615552,-0.408305597279104,-0.870551441909587,0.223699889688772,0.336634445752106,1.40348106156541,0.425917291315632,0.819720332737666,-0.509877289676041,0.426020311741971,-0.302603622694642,-0.639786338147333,-0.129172981300139,-0.991941868153223,-0.71216644836161,0.660396654855553,0.0724367962914496,-0.209631169784285,-1.12137602609084,-1.27046261968386,-0.0854208725428654,-0.0802551808158239,-0.12406952180535,-0.137329889323819,-0.211827008905932,-0.158081885872645,-0.119996065353351,-0.109374155687262,-0.187052341716905,-0.0824184429268316,-0.205549050440312,-0.115791554834915,-0.10961337134279,-0.0914611550506288,-0.0386698468067963,-0.128918049342812,-0.138137593058754,-0.127818064766301,-0.125769252754803,-0.030202434134845,-0.196188076835576,-0.141791754079145,-0.114810749294433,-0.0769413099585766,-0.0237437836607506
"10",0.333324775075607,-0.0456027114325737,0.660457667541721,0.84382654976821,0.189057802193506,0.357394800849384,0.350679066347979,-0.900760019133247,0.4299661127104,-0.344236431959671,-0.210531153300335,-1.25798756688845,0.381467318385003,0.275023888759805,-0.0809611599911428,0.73723049466699,-0.234267117814373,-0.473848580795533,0.296952549260243,0.758544482256543,0.348534906893866,0.320741966645252,0.284590333061844,0.337237048615553,0.307947445199701,0.331079990108944,0.333722812139757,0.324611354966998,0.394201162371141,0.333560048659557,0.342895035934099,0.350225185916846,0.419393369073527,0.289381473673391,0.314596072135406,0.319848872586861,0.327607459366239,0.336266797285559,0.331476921064645,0.367211619579834,0.282085927146679,0.362509096553559,0.365952319601919,0.315999166930576,0.272487833986971
