TNFRSF25
PLEKHG5
SLC45A1
PTPRU
TIE1
CDC20
MED8
HYI
PTPRF
ARTN
LOC101929609
ATP6V0B
B4GALT2
LINC01748
NEGR1
EVI5
PTBP2
DPYD
DPYD-IT1
LOC100419654
VPS45
CA14
CTSS
CTSK
SELENBP1
S100A13
NUP210L
C1orf43
HAX1
CASQ1
PBX1
SLC9C2
ANKRD45
DARS2
GAS5-AS1
GAS5
SERPINC1
RABGAP1L
NDUFAF4P4
ZNF281
CACNA1S
YOD1
AKT3
SLC35F6
DPYSL5
CGREF1
PREB
SPATA31H1
GPN1
SLC4A1AP
VIT
GPATCH11
CEBPZOS
CEBPZ
NDUFAF7
PRKD3
QPCT
STON1
ASB3
ERLEC1
EMX1
ALMS1
NAT8
ALMS1P1
NAT8B
TPRKB
SLC4A10
DPP4
ZNF804A
ANKRD44
SF3B1
RFTN2
MARS2
PLCL1
LINC01877
FTCDNL1
TYW5
KCTD18
CUL3
SNORC
NGEF
CNTN4
PLCL2
TREX1
NCKIPSD
WDR6
RBM6
PARP3
RPL29
TWF2
TWF2-DT
PPM1M
WDR82
GLYCTK
BAP1
NISCH
NT5DC2
UQCC5
PBRM1
GNL3
GLT8D1
NEK4
ITIH3
ITIH4
STIMATE-MUSTN1
STIMATE
SFMBT1
SERBP1P3
RFT1
TKT
CDHR18P
THOC7
LINC02027
IFT57
PPP2R3A
PCCB
DNAJC8P2
STAG1-DT
DNAJC19
SNCA-AS1
SLC39A8
LRRC37A15P
KRT8P46
UBE2D3
UBE2D3-AS1
CISD2
SLC9B1
BDH2
LINC01378
NDST3
GUSBP5
LOC100419356
SH3RF1
CLCN3
MRPS30-DT
MRPS30
EMB
ELOVL7
GNL3LP1
RASA1
SLCO4C1
LOC285638
MAN2A1-DT
MAN2A1
REEP2
PROB1
SRA1
CD14
NDUFA2
IK
HARS1
HARS2
ZMAT2
PCDHA2
PCDHA3
PCDHA4
PCDHA5
PCDHA6
PCDHA7
PCDHA8
PCDHA9
PCDHA10
PCDHA11
PCDHA12
PCDHA13
PCDHB2
PCDHB3
PCDHB5
PCDHB7
PCDHB8
PCDHB9
PCDHB10
PCDHB15
PCDHGB2
PCDHGA5
PPP2R2B
KRT8P48
FAM114A2
SGCD
DRD1
KIAA0319
C6orf62
CMAHP
SCGN
LINC02980
H4C3
H2BC4
H2BC5
H4C8
BTN3A2
BTN2A2
BTN2A3P
BTN3A3
BTN2A1
HCG11
GUSBP2
POM121L6P
LINC00240
VN1R12P
PRSS16
ZNF204P
ZNF391
ZNF184
GPR89P
H2BC13
H4C11
IQCB2P
OR2W2P
OR2B7P
OR2B8
OR1F12P
ZNF165
ZNF602P
ZSCAN16-AS1
ZSCAN16
ZKSCAN8
ZKSCAN8P1
ZNF603P
ZKSCAN8P2
TOB2P1
ZSCAN9
NKAPL
ZSCAN26
PGBD1
SMIM15P2
ZSCAN31
ZKSCAN3
ZSCAN23
LINC01623
RN7SL471P
GABBR1
HLA-DRB6
HLA-DQB1
HLA-DOB
HLA-DMB
HLA-DOA
HLA-DPA1
HLA-DPB1
RPL32P1
HCG25
VPS52
RPS18
B3GALT4
WDR46
RGL2
TAPBP
ZBTB22
DAXX
GGNBP1
BAK1
LINC00336
ITPR3
IP6K3
GNMT
CUL9
DNPH1
SNAP91
FUT9
FOXO3
LINC00222
REV3L
TRAF3IP2
GOPC
MAFK
MAD1L1
MRM2
FAM221A
GSDME
CALN1
ELAPOR2
PEG10
GNB2
KMT2E
RPL10P19
TRIM35
CHRNA2
LSM1
DDHD2
LETM2
PENK
CYP7B1
LOC100132280
TSNARE1
FAM83H
LINC01239
RNF38
ZCCHC7
CACNB2
NSUN6
NRBF2
AGAP11
C10orf95-AS1
MFSD13A
ACTR1A
WBP1L
CYP17A1
PFN1P11
BORCS7
AS3MT
RPL22P17
CNNM2
NT5C2
INA
CALHM2
NUCB2
ABCC8
MDK
ATG13
F2
PACSIN3
SLC39A13-AS1
TIMM10
MIR130AHG
PCNX3
RNASEH2C
KRT8P26
AP5B1
PGM2L1
TTC12
ANKK1
OR8B10P
VSIG2
SNX19
LINC02731
JAM3
LINC02714
RPL13AP24
POC1B
GLTP
C12orf76
VPS29
TCTN1
LINC01404
SPPL3
HNF1A
C12orf43
P2RX4
CAMKK2
MLXIP
HCAR3
DENR
CCDC62
HIP1R
VPS37B
ABCB9
OGFOD2
ARL6IP4
MTRFR
CDK2AP1
SBNO1-AS1
KMT5A
RILPL2
SNRNP35
DNAH10OS
CCDC92
ZNF664
LACC1
PCDH17
RBM26
RBM26-AS1
NDFIP2
LINC01068
DNAJC3-DT
NALCN
RPL23AP70
PYGL
GCH1
L3HYPDH
JKAMP
PCNX1
RGS6
EIF5
MARK3
BAG5
COA8
PPP1R13B
PLCB2
CCNDBP1
LCMT2
MAPDA
ZSCAN29
TUBGCP4
CKMT1B
STRC
CKMT1A
STRCP1
PDIA3
WDR76
MINDY2
FAM81A
CRABP1
HYKK
PSMA4
CHRNA5
RASGRF1
SAXO2
RPS17
CPEB1
BTBD1
EFL1P1
UBE2Q2P16
CSPG4P11
GOLGA2P7
GOLGA6L4
DNM1P51
CSPG4P5
GOLGA6L3P
LINC00933
ZSCAN2
WDR73
NMB
ALPK3
GOLGA6L3P
RLBP1
POLG
POLG-DT
RHCG
FURIN
FES
CORO7-PAM16
CORO7
VASN
DNAJA3
CDIP1
C16orf96
NAGPA
SMG1P6
SMG1P2
CDIPTOSP
SEZ6L2
ASPHD1
KCTD13
KCTD13-DT
TMEM219
TAOK2
DOC2A
TLCD3B
PPP4C
TBX6
YPEL3
YPEL3-DT
MAPK3
SMG1P5
SETD6
HSF4
DUS2
VPS4A
PDF
COG8
CLEC18B
SPG7
RPL13
CPNE7
SPATA33
CDK10
VPS9D1
ZNF276
FANCA
SPIRE2
MC1R
GAS8
GAS8-AS1
RPS4XP17
CRK
DPH1
SMG6
SRR
HNRNPA1P16
SCIMP
RPAIN
ACADVL
ELP5
ELAC2
TOM1L2
DRC3
TRIM16L
PRPSAP2
LOC105371574
LINC02094
CCDC144CP
USP32P3
NOS2P3
PLEKHM1
LRRC37A4P
DND1P1
MAPK8IP1P2
RPS26P8
LINC02210
CRHR1
MAPT-AS1
SPPL2C
MAPT
STH
KANSL1
KANSL1-AS1
MAPK8IP1P1
ARL17B
LRRC37A
LRRC37A2
LRRC37A2
ARL17A
NSF
WNT3
LRRC37A17P
KPNB1-DT
ACE
CBX8
LOC400627
ZNF407
HSBP1L1
RBFA
PLEKHJ1
AMH
HAPLN4
TM6SF2
MAU2
GATAD2A
TSSK6
PBX4
ZNF14
ANKRD27
RGS9BP
FAM83E
NTN5
SEC1P
FUT1
NOSIP
IRF3
CPT1C
TNNI3
SIRPD
SIRPB1
EDEM2
SNHG17
ACTR5
CCN5
PTK6
LINC00320
CBR3-AS1
DOP1B
LSS
SGSM1
CACNA1I
MCHR1
SLC25A17
XPNPEP3
L3MBTL2
CHADL
RANGAP1
ZC3H7B
POLR3H
CSDC2
DESI1
CENPM
SMIM45
WBP2NL
SLC25A5P1
NAGA
PHETA2
NDUFA6
NDUFA6-DT
CYP2D6
CYP2D8P
MCAT
NUP50
